font_id,name_en,name_zh
1442388814461,AR UDJingXiHeiAktivG30 DB,文鼎UD晶熙黑体AktivG30_D
1442389498260,AR UDJingXiHeiAktivG30 EB,文鼎UD晶熙黑体AktivG30_E
1442389806536,AR UDJingXiHeiAktivG30 HV,文鼎UD晶熙黑体AktivG30_H
1442389882174,AR UDJingXiHeiAktivBHK LT,文鼎UD晶熙黑體AktivBHK_L
1442389987040,AR UDJingXiHeiAktivBHK DB,文鼎UD晶熙黑體AktivBHK_D
1442390125233,AR UDJingXiHeiAktivBHK EB,文鼎UD晶熙黑體AktivBHK_E
1442390198066,AR UDJingXiHeiAktivBHK HV,文鼎UD晶熙黑體AktivBHK_H
1442390265136,AR UDJingXiHeiAktivJP LT,AR UD 晶熙ゴシック体Aktiv_L
1442390372404,AR UDJingXiHeiAktivJP DB,AR UD 晶熙ゴシック体Aktiv_D
1442390470677,AR UDJingXiHeiAktivJP EB,AR UD 晶熙ゴシック体Aktiv_E
1442390543233,AR UDJingXiHeiAktivJP HV,AR UD 晶熙ゴシック体Aktiv_H
1444716098606,AR DCQKJingYaGB MD,文鼎DC庆科静雅体_M
1451447365603,AR UDJingxiheiGB MD,文鼎UD晶熙黑体_M
1451447788725,AR UDJingxiheiGB DB,文鼎UD晶熙黑体_D
1451448019650,AR UDJingxiheiGB BD,文鼎UD晶熙黑体_B
1451448077618,AR UDJingxiheiGB EB,文鼎UD晶熙黑体_E
1451448122365,AR UDJingxiheiGB HV,文鼎UD晶熙黑体_H
1451524895102,AR UDJingXiHeiJP MD,ARUD晶熙ゴシック体_M
1451525389032,AR UDJingXiHeiJP DB,ARUD晶熙ゴシック体_D
1451525504800,AR UDJingXiHeiJP BD,ARUD晶熙ゴシック体_B
1451525572402,AR UDJingXiHeiJP EB,ARUD晶熙ゴシック体_E
1451525639879,AR UDJingXiHeiJP HV,ARUD晶熙ゴシック体_H
1453701045723,AR UDJingXiHeiG30 MD,文鼎UD晶熙黑体G30_M
1453701238634,AR UDJingXiHeiG30 DB,文鼎UD晶熙黑体G30_D
1453701352705,AR UDJingXiHeiG30 BD,文鼎UD晶熙黑体G30_B
1453701511452,AR UDJingXiHeiG30 EB,文鼎UD晶熙黑体G30_E
1453701553681,AR UDJingXiHeiG30 HV,文鼎UD晶熙黑体G30_H
1453701602689,AR UDJingXiHeiE1G30 MD,文鼎UD晶熙黑体E1G30_M
1453701715124,AR UDJingXiHeiE1G30 DB,文鼎UD晶熙黑体E1G30_D
1453701747164,AR UDJingXiHeiE1G30 BD,文鼎UD晶熙黑体E1G30_B
1453701803668,AR UDJingXiHeiE1G30 EB,文鼎UD晶熙黑体E1G30_E
1453701888508,AR UDJingXiHeiE1G30 HV,文鼎UD晶熙黑体E1G30_H
1457343158305,AR MyungjoKR MD,AR MyungjoKR MD
1457344093562,GungSeo Medium,GungSeo Medium
1457344280605,AR GothicKR5 MD,AR GothicKR5 MD
1457344435270,AR GothicKR5 BD,AR GothicKR5 BD
1458021766840,AR NaGoMiPOPGB BD,文鼎奈谷米POP体_B
1458023444101,AR UDJingXiHeiXG30 MD,文鼎UD晶熙黑体XG30_M
1458023737821,AR UDJingXiHeiXG30 DB,文鼎UD晶熙黑体XG30_D
1458024134383,AR UDJingXiHeiXG30 BD,文鼎UD晶熙黑体XG30_B
1458024260648,AR UDJingXiHeiXG30 EB,文鼎UD晶熙黑体XG30_E
1458024330841,AR UDJingXiHeiXG30 HV,文鼎UD晶熙黑体XG30_H
1458024473623,AR UDJingXiHeiE1XG30 MD,文鼎UD晶熙黑体E1XG30_M
1458024663444,AR UDJingXiHeiE1XG30 DB,文鼎UD晶熙黑体E1XG30_D
1458024724482,AR UDJingXiHeiE1XG30 BD,文鼎UD晶熙黑体E1XG30_B
1458024845993,AR UDJingXiHeiE1XG30 EB,文鼎UD晶熙黑体E1XG30_E
1458024948547,AR UDJingXiHeiE1XG30 HV,文鼎UD晶熙黑体E1XG30_H
1458025135753,AR Hebe Sans Vi,AR Hebe Sans Vi
1458025432864,AR Fruda Sans Vi,AR Fruda Sans Vi
1458025469101,AR Verdure Sans Vi,AR Verdure Sans Vi
1458025515028,AR Roman Kai,AR Roman Kai
1458034793483,AR UDJingXiHeiE1GB MD,文鼎UD晶熙黑体E1_M
1458034849812,AR UDJingXiHeiE1GB DB,文鼎UD晶熙黑体E1_D
1458034897069,AR UDJingXiHeiE1GB BD,文鼎UD晶熙黑体E1_B
1458034953320,AR UDJingXiHeiE1GB EB,文鼎UD晶熙黑体E1_E
1458035000519,AR UDJingXiHeiE1GB HV,文鼎UD晶熙黑体E1_H
1458111021297,AR DCHYJianWeiGB BD,文鼎DC黄阳尖魏体_B
1459327252420,AR BopomofaDL Ul,文鼎虛線注音符號
1459327366137,AR StdKaiGDLB5 Md,文鼎標楷虛線國字
1459491650847,AR FangXinShuH7B5 HV,文鼎方新書H7_H
1461225057049,AR PixelHBar12B5 MD,文鼎橫線像素12_M
1461226476391,AR PixelHBar12GB MD,文鼎横线像素12_M
1461226659788,AR PixelDiagonal12B5 MD,文鼎斜線像素12_M
1461226816065,AR PixelDiagonal12GB MD,文鼎斜线像素12_M
1465797264455,AR WBSHC1B5 Md,文鼎空框上漢語拼音C1
1465797478523,AR WBSHL1B5 Md,文鼎空框上漢語拼音L1
1465802625294,AR WBXHC1B5 Md,文鼎空框下漢語拼音C1
1465803185539,AR WBXHL1B5 Md,文鼎空框下漢語拼音L1
1465803312101,AR HeiSHYC1 Bd,文鼎粗黑上漢語拼音C1
1465803465595,AR HeiSHYL1 Bd,文鼎粗黑上漢語拼音L1
1465803641651,AR HeiXHYC1 Bd,文鼎粗黑下漢語拼音C1
1465803767909,AR HeiXHYL1 Bd,文鼎粗黑下漢語拼音L1
1465803860781,AR StdKaiSHYC1 Md,文鼎標楷上漢語拼音C1
1465803963432,AR StdKaiSHYL1 Md,文鼎標楷上漢語拼音L1
1465804086264,AR StdKaiXHYC1 Md,文鼎標楷下漢語拼音C1
1465804200075,AR StdKaiXHYL1 Md,文鼎標楷下漢語拼音L1
1465804316963,AR WHanYuC1B5 Md,文鼎漢語寬拼音C1
1465804469767,AR WHanYuL1B5 Md,文鼎漢語寬拼音L1
1465804574979,AR HeiWSHYC1B5 Bd,文鼎粗黑上漢語寬拼音C1
1465804680964,AR HeiWSHYL1B5 Bd,文鼎粗黑上漢語寬拼音L1
1465804770418,AR HeiWXHYC1B5 Bd,文鼎粗黑下漢語寬拼音C1
1465805012654,AR HeiWXHYL1B5 Bd,文鼎粗黑下漢語寬拼音L1
1465805164620,AR StdKaiWSHYC1B5 Md,文鼎標楷上漢語寬拼音C1
1465805282838,AR StdKaiWSHYL1B5 Md,文鼎標楷上漢語寬拼音L1
1465805386766,AR StdKaiWXHYC1B5 Md,文鼎標楷下漢語寬拼音C1
1465805472569,AR StdKaiWXHYL1B5 Md,文鼎標楷下漢語寬拼音L1
1465874000380,AR CuheiSHC1GB Bd,文鼎粗黑上汉语拼音C1
