Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
AR NewHeiB5 BD (Regular),AR NewHeiB5 BD,Regular,AR NewHeiB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR NewHeiB5 EB (Regular),AR NewHeiB5 EB,Regular,AR NewHeiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR NewHeiB5 HV (Regular),AR NewHeiB5 HV,Regular,AR NewHeiB5,Heavy,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR NewHeiB5 LT (Regular),AR NewHeiB5 LT,Regular,AR NewHeiB5,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),31,14266,14148
AR NewHeiB5 MD (Regular),AR NewHeiB5 MD,Regular,AR NewHeiB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR NewHeiEXT MD (Regular),AR NewHeiEXT MD,Regular,AR NewHeiEXT,Medium,Version 1.20,ARPH,Regular,5 (Medium),500 (Medium),5,2659,2661
AR NewMingB5 LT (Regular),AR NewMingB5 LT,Regular,AR NewMingB5,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),31,14266,14148
AR NiuNiuB5 BD (Regular),AR NiuNiuB5 BD,Regular,AR NiuNiuB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR PiaoChongB5 UL (Regular),AR PiaoChongB5 UL,Regular,AR PiaoChongB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR PiLiB5 UL (Regular),AR PiLiB5 UL,Regular,AR PiLiB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR PiscesAB5 UL (Regular),AR PiscesAB5 UL,Regular,AR PiscesAB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR Pixel3D20B5 MD (Regular),AR Pixel3D20B5 MD,Regular,AR Pixel3D20B5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14270,14266
AR PixelDiagonal12B5 MD (Regular),AR PixelDiagonal12B5 MD,Regular,AR PixelDiagonal12B5,Medium,Version 1.20,ARPH,Regular,5 (Medium),400 (Normal),31,14269,14311
AR PixelHBar12B5 MD (Regular),AR PixelHBar12B5 MD,Regular,AR PixelHBar12B5,Medium,Version 1.20,ARPH,Regular,5 (Medium),400 (Normal),31,14269,14300
AR PixelMontage20B5 MD (Regular),AR PixelMontage20B5 MD,Regular,AR PixelMontage20B5,Medium,Version 1.20,ARPH,Regular,5 (Medium),400 (Normal),31,14270,14266
AR PixelSquShad20B5 MD (Regular),AR PixelSquShad20B5 MD,Regular,AR PixelSquShad20B5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14270,14666
AR Pop2B5 BD (Regular),AR Pop2B5 BD,Regular,AR Pop2B5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR Pop4B5 BD (Regular),AR Pop4B5 BD,Regular,AR Pop4B5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR QianKunNiuB5 UL (Regular),AR QianKunNiuB5 UL,Regular,AR QianKunNiuB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR QianZiBiB5 EB (Regular),AR QianZiBiB5 EB,Regular,AR QianZiBiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR QiaoHeiB5 EB (Regular),AR QiaoHeiB5 EB,Regular,AR QiaoHeiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR QiaoHeiB5 UL (Regular),AR QiaoHeiB5 UL,Regular,AR QiaoHeiB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR QinQinB5 UL (Regular),AR QinQinB5 UL,Regular,AR QinQinB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR RGothic1 Bold (Regular),AR RGothic1 Bold,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),700 (Bold),2,98,256
AR RGothic1 Euro Black (Regular),AR RGothic1 Euro Black,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),8,269,433
AR RGothic1 Extrabold (Regular),AR RGothic1 Extrabold,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),800 (Extra-bold),2,98,256
AR RGothic1 Heavy (Regular),AR RGothic1 Heavy,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR RGothic1 Light (Regular),AR RGothic1 Light,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),300 (Light),2,98,256
AR RGothic1 Medium (Regular),AR RGothic1 Medium,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),500 (Medium),2,98,256
AR RGothic1 Ultra (Regular),AR RGothic1 Ultra,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR RGothic2 Ultra Outline (Regular),AR RGothic2 Ultra Outline,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR RGothic2 Ultra Stencil (Regular),AR RGothic2 Ultra Stencil,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR Roman Kai (Regular),AR Roman Kai,Regular,,,Version 1.10,ARPH,Regular,5 (Medium),400 (Normal),2,255,256
AR Roman1 Bold (Regular),AR Roman1 Bold,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),700 (Bold),2,98,256
AR Roman1 Euro Heavy (Regular),AR Roman1 Euro Heavy,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),8,269,433
AR Roman1 Extrabold (Regular),AR Roman1 Extrabold,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),800 (Extra-bold),2,98,256
AR Roman1 FS Bold (Regular),AR Roman1 FS Bold,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),700 (Bold),2,98,256
